Variable,Coefficient,Std_Error,t_statistic,p_value,Significance
is_holiday,0.1959907295578447,0.019988662514427658,9.805094733896285,0.0,***
cluster,0.002898715930452799,0.0014309224400864862,2.025767329693703,0.042788721629099635,**
oil_price,-0.07340995263199668,0.00023629013243417932,-310.6771826472511,0.0,***
month,0.09245905693700897,0.0019716790499283393,46.893563605278146,0.0,***
dayofweek,-0.03362677477477851,0.0034133013271376795,-9.851686549741917,0.0,***
transactions,0.00045937238199808593,7.575659093685841e-06,60.63794269477669,0.0,***
type_encoded,0.10021764346289726,0.005487712962600153,18.26218757174442,0.0,***
